antecedent_ids,antecedent_names,consequent_ids,consequent_names,support,confidence,lift,LHS,RHS
34526,Olives Stuffed With Blue Cheese,"18281, 43170","Popped Dark Chocolate with Sea Salt Granola Bar, Toll House Premier White Chocolate Morsels",0.1285,0.8292,6.4529,{34526},"{18281, 43170}"
"31547, 45932","Marketplace Pomegranate Chicken, 100% Grated Parmesan & Romano Cheese","3286, 6049","9\"" OvenFresh Pie Plate, Wild Berry Organic Sparkling Energy Drink",0.0406,0.838,20.6404,"{31547, 45932}","{3286, 6049}"
42475,Unsalted Butter Quarters,35388,Brooklyn Rye Oval,0.038,0.6942,18.2684,{42475},{35388}
4686,Chewy Chicken Flavor Dog Treats,"29329, 39098","Surface Wipes Fresh Scent, Complete Health Kitten Dry Food",0.0801,0.7078,8.8365,{4686},"{29329, 39098}"
36393,Eggo Buttermilk Waffles,"26554, 32223","Rigatoni With Chicken & Pesto, For Baby Organic Baby Food Stage 2 Chicken With Chicken Gravy",0.3307,0.369,1.1158,{36393},"{26554, 32223}"
2504,"Bread, Watsonville Sourdough","29064, 37854","Black Cherry Water, Berry Medley Oatmeal",0.059,0.8704,14.7525,{2504},"{29064, 37854}"
"26939, 29691","Penne Rigate Pasta, Petite Butter Croissant","21278, 49218","All Purpose Crushed Tomatoes, Dough For Turnover Pastries Para Empanadas",0.4709,0.932,1.9792,"{26939, 29691}","{21278, 49218}"
39929,Organic Heirloom Tomatoes,"37306, 49218","Take & Bake Multigrain Loaf, Dough For Turnover Pastries Para Empanadas",0.1593,0.4908,3.081,{39929},"{37306, 49218}"
13652,Classic Pate Chicken & Tuna Dinner Cat Food,42251,Organic Strawberry Thirst Quencher,0.3888,0.6595,1.6962,{13652},{42251}
36829,Beef Lit'l Smokies,"1732, 7879","Organic Peach Pear Blueberry Apple Avocado, American Cheese, Pre-Sliced",0.3987,0.3128,0.7845,{36829},"{1732, 7879}"
31299,Some Pulp Orange Juice,39568,Kick Ass Allergy,0.3114,0.8153,2.6182,{31299},{39568}
15114,SELECT Original Rice Crackers,691,Organic Promise Strawberry Fields Cereal,0.0455,0.9964,21.8989,{15114},{691}
"3409, 48890","Total Raisin Bran Cereal, Jumbo Brown Eggs","35388, 39511","Brooklyn Rye Oval, Baby Diaper Rash Ointment",0.2971,0.6651,2.2386,"{3409, 48890}","{35388, 39511}"
4268,Spot's Stew Chicken Cat Food,"36035, 46941","Reduced Sodium Jambalaya Mix, Provolone Slices",0.4606,0.6,1.3026,{4268},"{36035, 46941}"
11821,Organic Milk Whole,25625,Nonfat Yogurt,0.392,0.4994,1.274,{11821},{25625}
48104,Organic Lite Coconut Milk,37555,Oatmeal Cranberry Place & Bake Cookie Dough,0.1939,0.3959,2.0418,{48104},{37555}
13269,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,30912,Original Decaf Medium Roast K-Cups,0.3866,0.8335,2.156,{13269},{30912}
40440,Vanilla Blended Whole Milk Greek Yogurt,44836,Karia Chardonnay,0.4545,0.6618,1.4561,{40440},{44836}
"3234, 46252","Microwaveable Mac And Cheese Real Cheddar Cheese, Original Thin Rye Crispbread",42515,Nilla Wafers Reduced Fat,0.4934,0.7676,1.5557,"{3234, 46252}",{42515}
"1494, 45033","Petite Diced Hot with Green Chilies Tomatoes, Original Bread With Honey","20464, 6255","Salted Almonds & Milk Chocolate 41% Cacao, Multi-Grain Cheerios Dark Chocolate Crunch Cereal",0.3757,0.6364,1.6939,"{1494, 45033}","{20464, 6255}"
18958,Vanilla with Reese's Pieces Lowfat Yogurt,43833,Organic Extra Thick Passata Rustica Puree,0.1251,0.9393,7.5084,{18958},{43833}
45217,Pizza for One Original 4 Cheese Frozen Pizza,10133,Rockin Refuel Chocolate Protein Milk Beverage,0.1614,0.7081,4.3872,{45217},{10133}
"32777, 5268","Sun Cups Milk Chocolate, Bagel Bites Three Cheese Mini Bagel Pizzas",6544,Garlic Rosemary Citrus Sauce,0.2999,0.9997,3.3334,"{32777, 5268}",{6544}
15789,Dairy Pure 1% Low Fat Milk,33376,Vanilla Wafer Cookies,0.3005,0.7058,2.3488,{15789},{33376}
14114,Orange Chicken,22075,Silicone Baby 3-12 Months Toothbrush,0.1254,0.6717,5.3565,{14114},{22075}
45375,Swiss Thick Slices Cheese,"37500, 39391","Fresh Cut Sliced Beets, Prosciutto Cotto",0.0125,0.9546,76.368,{45375},"{37500, 39391}"
48082,Reduced Fat Provolone Cheese with Smoke Flavor,14388,Invisible Solid Outlast Completely Clean - 5.2 oz Twin,0.1098,0.6747,6.1448,{48082},{14388}
17551,Fat Free Sharp Cheddar Pasteurized Process Cheese Product,"35074, 48449","Whole Milk Mozzarella Shredded Cheese, Frozen Concentrated Lemonade",0.4339,0.4863,1.1208,{17551},"{35074, 48449}"
"10432, 48407","Steamfresh Chef's Favorite Rotini Pasta & Vegetables, Vegetable Chicken Soup Stage 3",33376,Vanilla Wafer Cookies,0.124,0.9965,8.0363,"{10432, 48407}",{33376}
"1846, 7842","BoomChocoBoom Gluten Free Ricemilk Crunch Bar, Tuscany Pumpkin Pasta Sauce","13193, 7235","Special Sauce, Stevia Plus Powder",0.3194,0.6344,1.9862,"{1846, 7842}","{13193, 7235}"
25726,Probiotic Pineapple Yogurt Drink,40317,Echo Caviar,0.3416,0.8276,2.4227,{25726},{40317}
"16997, 46188","Poultry & Beef Feast Variety Grilled Wet Cat Food, Pasta Angel Hair","27505, 42959","Original Strawberry Gelatin, Jet-Dry Original Rinse Aid",0.2991,0.3576,1.1956,"{16997, 46188}","{27505, 42959}"
33819,Original French Vanilla Yogurt,"1897, 44109","Yukon Gold Potatoes Bag, Chickpea Snacks Habanero Medium Spicy",0.2595,0.3182,1.2262,{33819},"{1897, 44109}"
"27924, 28185","Snack & Go Original Applesauce Cups, Vanilla, Tangerine & Shortbread Ice Cream","14586, 4665","Fast Act Lactose Enzyme Vanilla Twist Flavor Supplement Chewable Tablets, Sweet & Creamy Regular Medium Roast Iced K-Cups Arabica Coffee",0.4927,0.6328,1.2844,"{27924, 28185}","{14586, 4665}"
6589,Natural Whole Grain Instant Brown Rice,"19276, 3286","Whole Nutmeg, 9\"" OvenFresh Pie Plate",0.0237,0.4778,20.1603,{6589},"{19276, 3286}"
"17649, 24616","Rich & Hearty Chicken Pot Pie Style Chowder Soup, Peanut Butter & Coconut Bar",702,Cheese Spread Port Wine,0.0304,0.8396,27.6184,"{17649, 24616}",{702}
23710,Snacks Extra Sharp Cheddar Cheese Sticks,40317,Echo Caviar,0.249,0.9955,3.998,{23710},{40317}
"16807, 47233","Organic Lowfat Milk 1% Milkfat, Bananas, Dark Chocolate","39391, 4479","Prosciutto Cotto, Fair Trade Level 4",0.0887,0.3514,3.9617,"{16807, 47233}","{39391, 4479}"
"42380, 47530","Organic Baby Foods Whole Grain Multi-Grain Cereal, Hearty Lentil With Vegetables Soup With Chickenpeas & Roasted Garlic",33376,Vanilla Wafer Cookies,0.1018,0.4675,4.5923,"{42380, 47530}",{33376}
"1463, 8823","Organic Milk, Lucky Charms Cereal Bars",29084,Honey Mustard Nut-Thins Cracker,0.3902,0.8172,2.0943,"{1463, 8823}",{29084}
2401,Organic Milk Chocolate Baking Wafers,"27688, 44808","Original Pops, Light Blackberry Yogurt",0.4831,0.3778,0.782,{2401},"{27688, 44808}"
34429,Kumato Tomatoes,"18694, 48041","Mandarin and Seville Orange Jigger, DanActive Vanilla Probiotic Dairy Drink",0.334,0.5004,1.4982,{34429},"{18694, 48041}"
18858,Gorgonzola Cheese Center Cut,15770,Hot Dog Chili Sauce,0.1491,0.4656,3.1227,{18858},{15770}
34703,Toaster Strudel Cream Cheese & Strawberry Pastries,34353,Eco Chic Technology Tea Tree Triple Treat Conditioner for All Hair Types,0.2389,0.4911,2.0557,{34703},{34353}
17833,Gluten Free Cheese Ravioli,"5837, 6255","Collard Mustard Turnip Greens Southern Blend, Multi-Grain Cheerios Dark Chocolate Crunch Cereal",0.4192,0.955,2.2781,{17833},"{5837, 6255}"
78,Nutter Butter Cookie Bites Go-Pak,3286,"9\"" OvenFresh Pie Plate",0.4226,0.6149,1.455,{78},{3286}
"20798, 35569","Greek Blended Raspberry Fat Free Yogurt, Premium Pate Wet Cat Food - Chicken Entree","15913, 46800","Ranch Veggie Dip, Cheesy Scalloped Potatoes",0.4327,0.7661,1.7705,"{20798, 35569}","{15913, 46800}"
6126,Gluten Free Rice Crusted Fishies,49311,Heartburn ReliefChews Assorted Fruit Chewable Tablets Antacid,0.2927,0.6099,2.0837,{6126},{49311}
"12691, 35541","Peanut Butter Ice Cream Slice Bars, with Mac & Cheese Fish Sticks","36789, 48476","UltimateCare Premium Liquid Bleach, Tender Chicken & Stars Stage 3",0.0309,0.7287,23.5825,"{12691, 35541}","{36789, 48476}"
43369,Total with Mango Greek Strained Yogurt,"27804, 30498","Spicy Kung Pao Noodle Bowl, Classics Canine Cuisine Variety Pack Wet Dog Food",0.0243,0.5912,24.3292,{43369},"{27804, 30498}"
43392,Black Rice Burger with Adzuki Beans & Leafy Greens,"34135, 5615","Home Style Mexican-Style Chicken Tortilla Soup, White Miso Soup Mix",0.3688,0.4514,1.224,{43392},"{34135, 5615}"
28920,Vegan Peanut Butter Chocolate Chip Cookies,37112,Everything Hommus,0.3272,0.4796,1.4658,{28920},{37112}
"18919, 33284","Whole Grain Sesame Rye Crisp Bread, Pop Up Bowl Movie Theater Butter Microwave Popcorn","17022, 19249","Elbows Pasta, Naturally Dry Natural Powder for Women Antiperspirant/Deodorant",0.3581,0.6725,1.878,"{18919, 33284}","{17022, 19249}"
14238,BBQ Recipe Chicken with Bacon Hand-Tossed Style Crust Pizza,46941,Provolone Slices,0.2198,0.4363,1.985,{14238},{46941}
"29387, 40047","Yo Toddler Organic Strawberry Banana Whole Milk Yogurt, Original Recipe Long Grain & Wild Rice",42267,Classic Mustard,0.388,0.6401,1.6497,"{29387, 40047}",{42267}
43052,Best Grains 12 Whole Grains Bread,49254,Single Donut,0.4246,0.3275,0.7713,{43052},{49254}
"16309, 28291","Cheese & Peanut Butter Sandwich Crackers, Thai Red Curry With Rice & Vegetables",37785,Peanut Satay Asian Cuisine,0.2146,0.6574,3.0634,"{16309, 28291}",{37785}
7130,Free Range Jumbo Eggss,958,Almond Extract,0.1381,0.758,5.4888,{7130},{958}
"25388, 45633","Lil Snapper Kid Size Granny Smith Apples, Organic Beef Hot Dogs","18116, 8653","Teatree Mint Hydrating Shampoo, Daisy Cutter Pale Ale",0.2662,0.4686,1.7603,"{25388, 45633}","{18116, 8653}"
"20029, 26328","Apple Chardonnay Chicken Sausage, Beef Stew Meat Value Pack","26274, 5400","Dutch Apple Pie, Coconut Flavor",0.1707,0.5196,3.0439,"{20029, 26328}","{26274, 5400}"
"32252, 400","Cheesecake Choco Truffle, Grass-Fed Yogurt Blueberry Cardamom",6255,Multi-Grain Cheerios Dark Chocolate Crunch Cereal,0.0812,1,12.3153,"{32252, 400}",{6255}
"19272, 4472","Veganic Sprouted Brown Rice Cacao Crisps, Toasted Coconut Almondmilk Blend",2989,"Clinical Strength Invisible Solid Deodorant, Sweet Marsala",0.4855,0.3768,0.7761,"{19272, 4472}",{ 2989}
33578,Seasonal Selections Creamy Spinach & Parmesan Pasta Sauce,"11558, 3573","Chicken & Beef Dinner Cat Food, Organic Green Sauerkraut",0.0369,0.7352,19.9241,{33578},"{11558, 3573}"
"17587, 4806","38% Milk Banana Pecan Caramel Bar, Oat Milk Soap",20464,Salted Almonds & Milk Chocolate 41% Cacao,0.1364,0.4563,3.3453,"{17587, 4806}",{20464}
"25246, 31042","White Cheddar Macaroni & Cheese Cups, Plain Icelandic Style Skyr 4% milkfat Yogurt",14647,Diced Hot Green Chiles,0.2538,0.4076,1.606,"{25246, 31042}",{14647}
6688,Vanilla Bean Greek Nonfat Yogurt Honey Oat Crisps Dippers,2668,Whips! Strawberry Mist Yogurt Mousse,0.2288,0.7299,3.1901,{6688},{2668}
24949,Perky's Crunchy Flax Cereal with Chia,17969,Calcium 100% Grape Juice,0.2161,0.6379,2.9519,{24949},{17969}
32654,"Muenster Cheese, Pre-Sliced","18545, 2564","Buttery Spread, 100% Tomato Juice",0.3612,0.3512,0.9723,{32654},"{18545, 2564}"
25264,Chicken Broth with Noodles & Dumplings,"19867, 26345","Sweet Corn & Carrot with Turkey + Sage Stage 3 Baby Food, Small/Medium Maximum Absorbency Women Underwear",0.0764,0.6689,8.7552,{25264},"{19867, 26345}"
"23856, 35292","Made with Organic Pasta & Cheddar Cheese Number Shapes Macaroni & Cheese Dinner, Cheese Creations Creamy Mozzarella Cheese Sauce",4452,Fearless Uncured Beef Franks,0.1803,0.5495,3.0477,"{23856, 35292}",{4452}
27273,Mueslix Cereal,13401,Valerian Extract,0.4943,0.5378,1.088,{27273},{13401}
"16910, 47097","Port Wine Cheese Ball, Milk Chocolate Peanut Butter Cups","17268, 8281","Original Potato Chips Triple Pack, Head of Lettuce",0.1849,0.5121,2.7696,"{16910, 47097}","{17268, 8281}"
"16132, 25565","Buffalo Style Chicken, Jumbo Cheese Puffs",34600,On the Go Pink Lemonade Drink Mix,0.3684,0.8733,2.3705,"{16132, 25565}",{34600}
"37594, 38751","French Vanilla Yogurt, Organic Nondairy Lemon Cashew Yogurt",16626,Brownie Moose Tracks Ice Cream,0.1739,0.3235,1.8603,"{37594, 38751}",{16626}
40128,Greek 100 Whips! Black Cherry Yogurt,"16666, 42515","Single Serve Donut Shop Coffee, 12 Count, Nilla Wafers Reduced Fat",0.0771,0.8178,10.607,{40128},"{16666, 42515}"
"22829, 40779","Multigrain Flax Seeded Flatbread Crackers, Greek Yogurt Peach & Chia",4553,Exfoliating Renewal Wet Cleansing Towelettes,0.0371,0.504,13.5849,"{22829, 40779}",{4553}
"13669, 20891","Chicken Taco Spices & Seasonings, Jammy Sammy Grape Jelly & Peanut Butter Snack Size Sandwich Bar",15250,Good Buddy Rawhide Pressed Bone,0.0645,0.5444,8.4403,"{13669, 20891}",{15250}
"20378, 26448","Chicken Broth, Petite Diced Tomatoes No Salt Added",39391,Prosciutto Cotto,0.2965,0.8953,3.0196,"{20378, 26448}",{39391}
41444,Peanut Butter Chocolate Chip Granola Bar,2668,Whips! Strawberry Mist Yogurt Mousse,0.3052,0.3625,1.1877,{41444},{2668}
30463,Organic Simply Stock Unsalted Chicken Stock,4339,Pure Camomile Herbal Tea Bags,0.2132,0.5666,2.6576,{30463},{4339}
"21259, 36681","Lean Beef Chili with Beans, Spanish Style Yellow Rice","12031, 7055","Taco Seasoning, No. 4, Large Vegetable Platter",0.3929,0.7717,1.9641,"{21259, 36681}","{12031, 7055}"
25525,Aged Artisanal Treenut Cracked Pepper Cheese,27140,Green Tea Decaf Lotus Blossom Green Tea Bags,0.3778,0.9633,2.5498,{25525},{27140}
236,Chicken Meatballs Dog Treats,46257,"Protein Bar, High, Cookies & Cream",0.2191,0.6214,2.8361,{236},{46257}
18949,Healthy Request Condensed Homestyle Chicken Noodle Soup,41872,"Herbal Tea, Organic Chamomile",0.096,0.7618,7.9354,{18949},{41872}
1348,Strawberry Banana Fruit Juice Smoothie,43520,"Organic Cranberry, Almond & Coconut Super Food Bar",0.379,0.9765,2.5765,{1348},{43520}
"16818, 29092","Vanilla Nonfat Yogurt, Organic Hearty Morning Fiber Cereal","35648, 45761","Butter Cookies, Turkey Breast Thin Sliced Honey Roasted Deli Select",0.4938,0.7266,1.4714,"{16818, 29092}","{35648, 45761}"
"43425, 7605","Creamy Milk & Honey Splash Body Wash, Honey Wheat Flatbread Bacon, Egg & Cheese Sandwiches","32566, 38976","Dha Omega 3 Vitamin D Milk, Coffee Nut Peanut Chocolate Candy",0.0638,0.4213,6.6034,"{43425, 7605}","{32566, 38976}"
2563,Roasted Garlic & Parmesan Baby Reds Mashed Potatoes,"1926, 32594","2 In 1 Super Foam & Scrub Sponges, Celery Ground Spice",0.2717,0.4827,1.7766,{2563},"{1926, 32594}"
22929,Dinosaur Shapes Chicken Breast Nuggets,15882,Passion Punch,0.1512,0.6316,4.1772,{22929},{15882}
"38002, 9046","with Seasoned Roasted Potatoes Scrambled Eggs & Sausage, Mousse Truffée Pork & Chicken Liver Mousse w/ Truffles","38036, 43337","Toasted Sesame Water Crackers, Pomegranate with Blueberry 100% Juice",0.4816,0.606,1.2583,"{38002, 9046}","{38036, 43337}"
"34372, 43018","All In One Crushed Tomatoes, Crumbled Reduced Fat Feta Cheese","13959, 29084","Swiss Fudge Cookies, Honey Mustard Nut-Thins Cracker",0.2668,0.3819,1.4314,"{34372, 43018}","{13959, 29084}"
40082,Bold Chipotle Chicken Lunch Meat,"10830, 39146","Sliced Canadian Bacon, Original Flax Milk",0.0743,0.7505,10.1009,{40082},"{10830, 39146}"
"25520, 43274","Reduced Fat Crumbled Blue Cheese, 100% Organic Einkorn Whole Wheat Pasta",39511,Baby Diaper Rash Ointment,0.2644,0.3202,1.211,"{25520, 43274}",{39511}
3288,Souper Meal Chicken Ramen Noodles,47190,Kosher Matzo Meal For Passover,0.279,0.9811,3.5165,{3288},{47190}
17940,Boy Oh Boy's Boysenberry Jam,"40903, 4405","2nd Foods Organic Fruit & Grain Apple Mango with Rice & Vanilla Baby Food, Limited Moka Coaster Coffee Cocoa Brew",0.0871,0.6041,6.9357,{17940},"{40903, 4405}"
37423,Extra Crispy for Chicken Seasoned Coating,22757,Bag of Kiwis,0.0889,0.8429,9.4814,{37423},{22757}
14355,Organic Beef Bone Broth,"39640, 46800","Dark Chocolate with Cinnamon Cayenne  & Cherries, Cheesy Scalloped Potatoes",0.2826,0.6755,2.3903,{14355},"{39640, 46800}"
34044,Organic Orange Juice with Pulp,"2248, 25931","Variety Pack Granola Bars, Organic Baby Spinach Salad",0.0369,0.9579,25.9593,{34044},"{2248, 25931}"
10087,Simply 100 Black Cherry Blended  Non-Fat Greek Yogurt,6255,Multi-Grain Cheerios Dark Chocolate Crunch Cereal,0.0267,0.5573,20.8727,{10087},{6255}
"16239, 17996","Organic Countrywild Rice Bowl, Italian Crushed Tomatoes with Onion and Garlic","11368, 2564","Dark Chocolate Mint Nutrition Bar, 100% Tomato Juice",0.0874,0.5298,6.0618,"{16239, 17996}","{11368, 2564}"
29674,Grab and Go Pulp Free 100% Pure Calcium & Vitamin D Orange Juice,27163,Spicy Nacho Tortilla Chips,0.3554,0.6899,1.9412,{29674},{27163}
"11112, 30950","Beef Ribeye, Mild Banana Pepper Rings",29329,Surface Wipes Fresh Scent,0.1877,0.3196,1.7027,"{11112, 30950}",{29329}
"16585, 47831","Protein Peanut Butter Crunchy Granola, SmartBlend Lamb & Rice Formula Adult Dog Food","1077, 7307","Security Super Plus Unscented Tampons, Sweet & Sour Chicken With Vegetables",0.125,0.3369,2.6952,"{16585, 47831}","{1077, 7307}"
"15975, 7952","Mirin Sweet Cooking Rice Wine, Chicken & Apple Breakfast Sausage",35648,"Clinical Strength Invisible Solid Deodorant, Butter Cookies",0.2634,0.3949,1.4992,"{15975, 7952}",{ 35648}
35584,Pizza Four Cheese,"14862, 4883","Aged White Cheddar Puffs Cheese Snacks, Holiday Milk Chocolates",0.0426,0.7203,16.9085,{35584},"{14862, 4883}"
33364,Pumpkin & Spice Yogurt,"28583, 3286","Down East Olive Oil Crackers, 9\"" OvenFresh Pie Plate",0.0749,0.3227,4.3084,{33364},"{28583, 3286}"
"3728, 49590","Cherry Vanilla Kettle Cooked Apples Fruit Pouch, Good Budddy, Jerky Strips, Real Chicken Recipe","30258, 452","Organic Peppermint Mints, Sleepytime Sinus Soother Herbal Tea",0.2022,0.9812,4.8526,"{3728, 49590}","{30258, 452}"
"30873, 31865","Chunky Spicy Chicken Quesadilla Soup, Four Cheese Ravioli",20950,Digestive Advantage Probiotic Fruit Gummies,0.0307,0.8287,26.9935,"{30873, 31865}",{20950}
"36743, 42661","Cilantro Lime Rice, Fettuccine Alfredo Chicken Helper",29551,Creamy Carob Mousse Cheesecake,0.0379,0.3344,8.8232,"{36743, 42661}",{29551}
27812,"Adult Grain-Free Chicken Thigh, Carrots & Sweet Potatoes Dog Food","34583, 47160","100 Calorie Healthy Pop Kettle Corn Microwave Pop Corn, Hair Expertise Ever Pure Blonde Shampoo",0.3969,0.7858,1.9798,{27812},"{34583, 47160}"
"20631, 20721","Organic Spring Vegetables & Pasta Stage 3 Baby Food, Jumbo Shells Pasta",22027,"Miso, Red",0.4889,0.5297,1.0835,"{20631, 20721}",{22027}
11200,Garlic Parmesan Breaded Boneless Skinless Chicken Breasts,483,"\""Constant Comment\"" Decaffeinated Black Tea Blend",0.3089,0.4108,1.3299,{11200},{483}
"18930, 26353","Drinkable Lowfat Peach Yogurt, Goat Cheese Original Log","23513, 34439","Relaxing Lavender Mineral Bath, Super Echinacea",0.2234,0.414,1.8532,"{18930, 26353}","{23513, 34439}"
"3924, 3958","Yogurt, Creamline, Orange Creme, Dairy Free Cultured Chocolate Coconut Milk","33401, 35210","Goat Cheese Crumbles, Natural Mozzarella Deli Style Sliced Cheese",0.1827,0.3632,1.988,"{3924, 3958}","{33401, 35210}"
"27423, 47181","Real Aged Cheddar Macaroni & Cheese, Reese's Peanut Butter Chocolate Dessert Bar Mix","3286, 48669","9\"" OvenFresh Pie Plate, Ultra Thin Overnight Pads with Wings",0.3029,0.5086,1.6791,"{27423, 47181}","{3286, 48669}"
"12081, 8712","Soft Rye Loaf Bread, Crunchy Cinnamon Banana Chips",13817,"\""Im Pei-nut Butter\"" Double Chocolate Cookie & Peanut Butter Ice Cream",0.2732,0.8096,2.9634,"{12081, 8712}",{13817}
"26096, 36912","Organic Gala Apples, Bag, Grilled Beef Feast in Gravy Cat Food",13401,Valerian Extract,0.237,0.6054,2.5544,"{26096, 36912}",{13401}
26820,Habanero Jack Cheese,27505,Original Strawberry Gelatin,0.4241,0.4211,0.9929,{26820},{27505}
"30707, 46641","Organic Ground Chicken Breast, Veganic Sprouted Oat O's Cereal","21185, 39391","Roadhouse Pile High Pepperoni Pizza, Prosciutto Cotto",0.4053,0.9402,2.3198,"{30707, 46641}","{21185, 39391}"
6367,Sugar Free Concord Grape Jam,18281,Popped Dark Chocolate with Sea Salt Granola Bar,0.3127,0.471,1.5062,{6367},{18281}
"20984, 516","Honey Oat Bread, American Cheese Slices",41815,Ham & Turkey Breast Sub Kit,0.2261,0.9436,4.1734,"{20984, 516}",{41815}
"25254, 33235","Hawaiian Conditioner Cocoa Butter, Buttercup Squash","47081, 7996","Pink Himalayan Salt Mill, Grenache Varietal Red Wine Vinegar",0.0901,0.5984,6.6415,"{25254, 33235}","{47081, 7996}"
"14073, 41551","Snacking Cheese, Fresh Mozzarella, Muffin Mix, Almond Flour, Banana","1168, 48974","White Wine Winemaker's Blend California, 2010, Organic Asian Sesame Dressing",0.4767,0.5071,1.0638,"{14073, 41551}","{1168, 48974}"
11616,Beef Gravy,"37019, 6445","Dairy Free Gluten Free Cookie Dough Coconut Milk Frozen Dessert, Gold Blend Tea Bags",0.4962,0.5447,1.0977,{11616},"{37019, 6445}"
46823,The Ultimate Beefless Burger,24328,Artichoke Spread,0.4091,0.3333,0.8147,{46823},{24328}
27957,Gerber 1F Rice Cereal Base Cereal WIC,34583,100 Calorie Healthy Pop Kettle Corn Microwave Pop Corn,0.0971,0.7191,7.4058,{27957},{34583}
"12125, 7442","Organic Peace Pasta & Parmesan Macaroni & Cheese, Strawberry Fields Cheesecake Vegan Gluten-Free","23624, 40903","Flatbread Pizza All Natural, 2nd Foods Organic Fruit & Grain Apple Mango with Rice & Vanilla Baby Food",0.2926,0.7538,2.5762,"{12125, 7442}","{23624, 40903}"
6730,Buffalo Style  Boneless Chicken Bites,"27115, 37496","All-Natural Autumn Apple  Fruit Strip, Organic Deep Dark Sea Salt Chocolate",0.216,0.4703,2.1773,{6730},"{27115, 37496}"
17644,Beef Flavored Cooking Stock,32165,Orange Unsweetened Soft Drink Mix,0.4184,0.9489,2.2679,{17644},{32165}
"13492, 37258","Spreadable W/Canola Oil Butter, Butternut Squash Soup","1672, 29590","English Cucumbers, Tomato Chicken Bouillon Cubes",0.2103,0.5602,2.6638,"{13492, 37258}","{1672, 29590}"
35914,Dha Omega 3 Reduced Fat 2% Milk,"28711, 45007","Tamale Pepper Cheese 3 Pk, Organic Zucchini",0.2809,0.6375,2.2695,{35914},"{28711, 45007}"
"2753, 41479","Blueberry Drinkable Whole Milk Yogurt, Chicken & Roasted Garlic Ravioli",15804,Fuji Apple Juice,0.3043,0.9034,2.9688,"{2753, 41479}",{15804}
4458,Hot & Fit Mayan Blend Cereal,1097,Sonoma County Sauvignon Blanc,0.2688,0.414,1.5402,{4458},{1097}
"26043, 32535","Gluten Free Grilled Chicken Breast Strips, Maple Brown Sugar Squarefuls Cereal",22027,"Miso, Red",0.2244,0.3318,1.4786,"{26043, 32535}",{22027}
"35515, 8605","Peanut Butter Cookie Mix, Kale, Tuscan Herbs and Potatoes","11788, 4220","Pecan Nuts, Hot & Spicy Tomato Ketchup",0.4449,0.7233,1.6258,"{35515, 8605}","{11788, 4220}"
"18359, 33976","Bag of Red Delicious Apples, Spreadable Butter Flavored with Olive Oil",7564,Protein And Fiber Chocolate Peanut Butter Bar,0.2965,0.5086,1.7153,"{18359, 33976}",{7564}
"13763, 26706","Organic Baby Cereal Protein-Packed Quinoa 6+Mths, Chicken Pad Thai With Rice Noodles","39391, 48669","Prosciutto Cotto, Ultra Thin Overnight Pads with Wings",0.2536,0.3951,1.558,"{13763, 26706}","{39391, 48669}"
44025,Organic Extra Large Cage-Free Grade A Brown Eggs,"15770, 43145","Hot Dog Chili Sauce, Pinto Beans with Jalapeno Peppers",0.1573,0.899,5.7152,{44025},"{15770, 43145}"
32238,All Natural Rice Vinegar,"15532, 17740","Classic Honey Peanut Butter Squeeze, Tortillas, Flour",0.0576,0.3158,5.4826,{32238},"{15532, 17740}"
"25062, 41370","Chicken Broccoli Fettuccine Alfredo, Core Turkey & Chicken Liver Canned Cat Food",32736,Humectress Conditioner,0.0308,0.7158,23.2403,"{25062, 41370}",{32736}
19341,Creamy Parmesan Chicken Pot Pie,6411,"Delights Honey Wheat Flatbread Turkey Sausage, Egg & Cheese",0.4096,0.5139,1.2546,{19341},{6411}
"39521, 49651","Premium Potatoes Organic Fingerling Medley, Beef Brisket",7307,Sweet & Sour Chicken With Vegetables,0.4256,0.8174,1.9206,"{39521, 49651}",{7307}
34275,Chiocciole Pasta,33810,Citrus Dish Soap,0.1905,0.3099,1.6268,{34275},{33810}
14154,Reduced Fat Sharp Cheddar Cheese,34415,Light Bologna & American Cracker Stackers Lunchhable,0.2415,0.8573,3.5499,{14154},{34415}
238,Alpha-Bits Multigrain Cereal,2562,Quick & Easy Steel Cut Irish Oatmeal,0.3509,0.9443,2.6911,{238},{2562}
"29653, 4844","Light Pineapple Upside-Down Cake Fat Free Yogurt, Gotta Have Vanilla Organic Frozen Nonfat Yogurt","16176, 18703","Lentil Trio, Organic, Pure Doctor Kombucha",0.389,0.5444,1.3995,"{29653, 4844}","{16176, 18703}"
3273,Home Menu Orange Chicken,13171,Organic Whole Grain Black Beans & Rice Rice & Seasoning Mix,0.3119,0.9214,2.9542,{3273},{13171}
19424,Unsweetened Applesauce,"22075, 33926","Silicone Baby 3-12 Months Toothbrush, Adobo All Purpose Seasoning",0.0543,0.5223,9.6188,{19424},"{22075, 33926}"
19478,Organic Marinara Pasta Sauce,39391,Prosciutto Cotto,0.4148,0.724,1.7454,{19478},{39391}
"22585, 45402","Chicken & Salmon Cat Food, Liquid White Eggs",22757,Bag of Kiwis,0.0529,0.4367,8.2552,"{22585, 45402}",{22757}
42378,Butter-Smart Balance Microwave Popcorn,20171,White Bread,0.1369,0.9698,7.084,{42378},{20171}
